Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
237,Battalion,Military Police,Rookie,Basic (Limited Ammo),Decentralized,Overstocked,139,Cyber Warfare,Advanced Communication,Fanatical,Tactical Genius,Counter-insurgency,Urban,Thunderstorm,Night,Low,No,Encirclement,Weapons Free,5
17,Battalion,Reconnaissance,Elite,Medical Supplies,Decentralized (Limited Communication),Basic,343,Special Forces,Advanced Communication,High,Strong,Secure Objective,Forest,Thunderstorm,Dusk,High,No,Patrolling,Minimize Collateral Damage,7
12,Platoon,Airborne,Veteran,Riot Gear,Centralized,Minimal,333,Armored,Advanced Communication,Fanatical,Incompetent,Secure Objective,Island,Extreme Cold,Dawn,None,Yes (Air & Artillery),Aggressive Push,Non-Lethal Force Only,2
926,Squad,Combat Medic Team,Veteran,Medical Supplies,Decentralized (Limited Communication),Overstocked,260,Special Forces,Standard Equipment,Low,Incompetent,Peacekeeping,Urban,Fog,Dusk,High,No,Guerrilla Tactics,Minimize Collateral Damage,2
142,Battalion,Combat Medic Team,Elite,Riot Gear,Centralized,Adequate,133,Mechanized Infantry,Improvised Explosive Devices (IEDs),Medium,Incompetent,Peacekeeping,Urban,Blizzard,Day,Low,Yes (Artillery),Tactical Retreat,Minimize Collateral Damage,1
5,Platoon,Reconnaissance,Elite,Specialized Gear,Centralized (Strict Hierarchy),Adequate,13,Drone Operators,Improvised Explosive Devices (IEDs),High,Tactical Genius,Counter-insurgency,Coastal,Extreme Cold,Dusk,High,Yes (Air Support),Tactical Retreat,Observe and Report,8
305,Company,Special Forces,Veteran,Medical Supplies,Centralized,Well-Supplied,22,Irregular Militia,Standard Equipment,Low,Weak,Peacekeeping,Desert,Cloudy,Dawn,Medium,Yes (Artillery),Tactical Retreat,Non-Lethal Force Only,5
852,Battalion,Military Police,Veteran,Riot Gear,Decentralized,Well-Supplied,192,Mechanized Infantry,Advanced Communication,Low,Strong,Reconnaissance,Coastal,Blizzard,Dusk,High,Yes (Air Support),Tactical Retreat,Protect Civilians at All Costs,4
12,Squad,Armored,Rookie,Standard Issue,Decentralized (Limited Communication),Adequate,342,Light Infantry,Standard Equipment,Medium,Tactical Genius,Eliminate Enemy Force,Mountain,Heavy Rain,Night,None,Yes (Air & Artillery),Guerrilla Tactics,Observe and Report,9
734,Company,Mechanized,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Overstocked,271,Drone Operators,Advanced Communication,Medium,Strong,Eliminate Enemy Force,Forest,Heavy Rain,Day,Low,Yes (Artillery & Close Air Support),Static Defense,Return Fire Only,7
534,Company,Reconnaissance,Veteran,Basic (Limited Ammo),Decentralized,Well-Supplied,359,Irregular Militia,Advanced Communication,Medium,Strong,Secure Objective,Suburban,Extreme Cold,Dawn,None,Yes (Air Support),Tactical Retreat,Protect Civilians at All Costs,4
5,Squad,Airborne,Elite,Standard Issue,Centralized (Strict Hierarchy),Adequate,389,Light Infantry,Improvised Explosive Devices (IEDs),Low,Competent,Rescue/Evacuation,Urban,Fog,Day,None,Yes (Naval Gunfire),Patrolling,Minimize Collateral Damage,1
8,Squad,Mechanized,Mixed,Riot Gear,Decentralized,Minimal,461,Light Infantry,Sniper Teams,High,Strong,Eliminate Enemy Force,Jungle,Snow,Day,High,Yes (Artillery & Close Air Support),Tactical Retreat,Non-Lethal Force Only,7
4,Battalion,Mechanized,Elite,Standard Issue,Centralized (Flexible),Basic,193,Mechanized Infantry,Sniper Teams,High,Strong,Rescue/Evacuation,Urban,Clear,Dawn,High,Yes (Air & Artillery),Encirclement,Return Fire Only,1
38,Platoon,Special Forces,Mixed,Medical Supplies,Centralized (Flexible),Adequate,99,Armored,Sniper Teams,Fanatical,Weak,Secure Objective,Suburban,Snow,Day,High,Yes (Air Support),Patrolling,Protect Civilians at All Costs,4
9,Company,Combat Medic Team,Mixed,Riot Gear,Centralized (Strict Hierarchy),Basic,48,Guerrilla,Standard Equipment,Low,Charismatic Leader,Eliminate Enemy Force,Forest,Cloudy,Dawn,Medium,Yes (Air Support),Tactical Retreat,Return Fire Only,5
5,Squad,Airborne,Elite,Standard Issue,Centralized (Strict Hierarchy),Basic,137,Cyber Warfare,Advanced Communication,Fanatical,Competent,Secure Objective,Desert,Extreme Cold,Night,Medium,Yes (Air & Artillery),Infiltration,Protect Civilians at All Costs,1
10,Squad,Combat Medic Team,Veteran,Riot Gear,Decentralized (Limited Communication),Minimal,229,Armored,Advanced Communication,Low,Weak,Eliminate Enemy Force,Urban,Snow,Dawn,None,Yes (Artillery),Static Defense,Observe and Report,9
5,Fire Team,Armored,Veteran,Specialized Gear,Decentralized (Limited Communication),Adequate,241,Special Forces,Improvised Explosive Devices (IEDs),Medium,Weak,Peacekeeping,Island,Extreme Cold,Dusk,Medium,Yes (Naval Gunfire),Guerrilla Tactics,Non-Lethal Force Only,4
11,Squad,Mechanized,Veteran,Riot Gear,Centralized,Adequate,241,Irregular Militia,Sniper Teams,High,Tactical Genius,Rescue/Evacuation,Urban,Thunderstorm,Day,Medium,Yes (Naval Gunfire),Infiltration,Minimize Collateral Damage,6
4,Fire Team,Combat Medic Team,Veteran,Basic (Limited Ammo),Centralized,Adequate,432,Irregular Militia,Sniper Teams,Fanatical,Strong,Secure Objective,Mountain,Thunderstorm,Day,High,Yes (Naval Gunfire),Aggressive Push,Weapons Free,2
12,Battalion,Infantry,Rookie,Riot Gear,Decentralized,Minimal,221,Drone Operators,Advanced Communication,Low,Weak,Cyber Defense,Arctic,Fog,Dusk,Medium,Yes (Air Support),Guerrilla Tactics,Observe and Report,2
5,Company,Armored,Veteran,Basic (Limited Ammo),Centralized,Adequate,190,Mechanized Infantry,Standard Equipment,Fanatical,Weak,Eliminate Enemy Force,Jungle,Extreme Heat,Dawn,Medium,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,3
29,Squad,Engineers,Elite,Riot Gear,Centralized,Well-Supplied,43,Special Forces,Advanced Communication,Low,Incompetent,Counter-insurgency,Coastal,Extreme Cold,Dusk,Low,Yes (Air Support),Tactical Retreat,Weapons Free,6
530,Company,Armored,Veteran,Riot Gear,Decentralized (Limited Communication),Overstocked,164,Cyber Warfare,Standard Equipment,Fanatical,Tactical Genius,Peacekeeping,Mountain,Thunderstorm,Dawn,None,Yes (Artillery),Patrolling,Protect Civilians at All Costs,5
23,Company,Military Police,Rookie,Standard Issue,Decentralized,Well-Supplied,371,Drone Operators,Sniper Teams,High,Incompetent,Reconnaissance,Arctic,Extreme Heat,Dawn,Medium,Yes (Artillery),Tactical Retreat,Protect Civilians at All Costs,2
11,Battalion,Special Forces,Mixed,Advanced Weaponry,Decentralized,Adequate,117,Light Infantry,Sniper Teams,Low,Competent,Counter-insurgency,Mountain,Snow,Day,Low,Yes (Artillery),Patrolling,Observe and Report,6
28,Fire Team,Engineers,Mixed,Medical Supplies,Centralized (Flexible),Overstocked,58,Light Infantry,Standard Equipment,Fanatical,Tactical Genius,Counter-insurgency,Urban,Fog,Dusk,None,Yes (Air & Artillery),Guerrilla Tactics,Non-Lethal Force Only,9
32,Fire Team,Combat Medic Team,Rookie,Medical Supplies,Decentralized (Limited Communication),Well-Supplied,118,Mechanized Infantry,Standard Equipment,Medium,Incompetent,Reconnaissance,Coastal,Fog,Dawn,None,Yes (Artillery & Close Air Support),Aggressive Push,Weapons Free,3
954,Fire Team,Airborne,Rookie,Specialized Gear,Decentralized,Adequate,207,Special Forces,Standard Equipment,High,Weak,Cyber Defense,Arctic,Blizzard,Dawn,High,Yes (Air & Artillery),Guerrilla Tactics,Return Fire Only,3
10,Fire Team,Combat Medic Team,Veteran,Medical Supplies,Centralized (Flexible),Basic,344,Special Forces,Sniper Teams,Medium,Incompetent,Rescue/Evacuation,Mountain,Snow,Night,Low,Yes (Artillery),Guerrilla Tactics,Protect Civilians at All Costs,4
32,Platoon,Combat Medic Team,Elite,Specialized Gear,Centralized (Flexible),Minimal,125,Mechanized Infantry,Sniper Teams,High,Charismatic Leader,Reconnaissance,Urban,Sandstorm,Dawn,High,Yes (Air & Artillery),Tactical Retreat,Return Fire Only,8
702,Squad,Infantry,Rookie,Advanced Weaponry,Centralized,Minimal,384,Armored,Standard Equipment,Fanatical,Weak,Secure Objective,Coastal,Clear,Dusk,None,Yes (Air Support),Static Defense,Observe and Report,1
5,Company,Infantry,Elite,Basic (Limited Ammo),Decentralized,Well-Supplied,144,Light Infantry,Standard Equipment,Low,Charismatic Leader,Reconnaissance,Coastal,Fog,Dawn,Medium,No,Tactical Retreat,Minimize Collateral Damage,4
9,Squad,Military Police,Rookie,Basic (Limited Ammo),Centralized (Flexible),Overstocked,180,Armored,Standard Equipment,Fanatical,Competent,Reconnaissance,Rural,Thunderstorm,Dawn,High,Yes (Artillery),Tactical Retreat,Return Fire Only,1
800,Squad,Military Police,Mixed,Basic (Limited Ammo),Decentralized,Well-Supplied,140,Armored,Standard Equipment,High,Weak,Counter-insurgency,Island,Thunderstorm,Day,None,Yes (Artillery),Encirclement,Return Fire Only,7
40,Squad,Special Forces,Veteran,Riot Gear,Centralized (Flexible),Well-Supplied,385,Drone Operators,Sniper Teams,High,Competent,Secure Objective,Desert,Extreme Heat,Dawn,Medium,Yes (Artillery),Aggressive Push,Observe and Report,1
4,Company,Combat Medic Team,Mixed,Medical Supplies,Centralized,Well-Supplied,470,Light Infantry,Sniper Teams,Low,Weak,Secure Objective,Desert,Light Rain,Day,None,Yes (Artillery & Close Air Support),Patrolling,Protect Civilians at All Costs,4
9,Battalion,Engineers,Elite,Specialized Gear,Centralized,Minimal,381,Guerrilla,Advanced Communication,Medium,Tactical Genius,Peacekeeping,Arctic,Fog,Dawn,High,Yes (Air Support),Guerrilla Tactics,Return Fire Only,2
424,Squad,Airborne,Elite,Specialized Gear,Centralized,Minimal,497,Guerrilla,Improvised Explosive Devices (IEDs),Low,Strong,Secure Objective,Suburban,Sandstorm,Night,High,Yes (Naval Gunfire),Tactical Retreat,Return Fire Only,1
12,Company,Airborne,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Minimal,111,Irregular Militia,Advanced Communication,Low,Weak,Secure Objective,Arctic,Snow,Day,Low,Yes (Artillery & Close Air Support),Static Defense,Weapons Free,8
25,Company,Combat Medic Team,Elite,Specialized Gear,Centralized,Minimal,256,Cyber Warfare,Standard Equipment,Low,Charismatic Leader,Cyber Defense,Urban,Fog,Day,Low,Yes (Artillery),Patrolling,Minimize Collateral Damage,2
85,Company,Mechanized,Mixed,Specialized Gear,Centralized,Basic,381,Guerrilla,Improvised Explosive Devices (IEDs),High,Incompetent,Secure Objective,Desert,Snow,Day,Low,No,Infiltration,Observe and Report,2
5,Battalion,Reconnaissance,Veteran,Specialized Gear,Centralized,Overstocked,357,Cyber Warfare,Advanced Communication,Low,Competent,Cyber Defense,Arctic,Blizzard,Dusk,Medium,Yes (Naval Gunfire),Infiltration,Minimize Collateral Damage,1
8,Company,Special Forces,Veteran,Standard Issue,Centralized (Strict Hierarchy),Basic,443,Irregular Militia,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Peacekeeping,Rural,Thunderstorm,Dusk,Low,Yes (Artillery & Close Air Support),Patrolling,Observe and Report,7
355,Company,Airborne,Veteran,Advanced Weaponry,Decentralized (Limited Communication),Adequate,107,Cyber Warfare,Standard Equipment,High,Strong,Infrastructure Protection,Island,Snow,Dusk,None,No,Tactical Retreat,Minimize Collateral Damage,7
13,Platoon,Military Police,Rookie,Advanced Weaponry,Centralized,Adequate,184,Light Infantry,Sniper Teams,Medium,Competent,Rescue/Evacuation,Rural,Light Rain,Dusk,None,Yes (Artillery & Close Air Support),Patrolling,Non-Lethal Force Only,4
48,Squad,Special Forces,Rookie,Specialized Gear,Decentralized (Limited Communication),Adequate,305,Guerrilla,Advanced Communication,Medium,Tactical Genius,Rescue/Evacuation,Desert,Sandstorm,Night,High,Yes (Artillery),Guerrilla Tactics,Minimize Collateral Damage,5
20,Company,Infantry,Mixed,Specialized Gear,Decentralized,Adequate,265,Light Infantry,Standard Equipment,Low,Tactical Genius,Rescue/Evacuation,Urban,Clear,Day,High,No,Patrolling,Return Fire Only,6
228,Platoon,Special Forces,Mixed,Riot Gear,Centralized (Flexible),Overstocked,471,Irregular Militia,Standard Equipment,Fanatical,Weak,Reconnaissance,Suburban,Light Rain,Night,High,Yes (Artillery & Close Air Support),Infiltration,Non-Lethal Force Only,7
200,Squad,Combat Medic Team,Veteran,Basic (Limited Ammo),Centralized (Flexible),Minimal,215,Irregular Militia,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Eliminate Enemy Force,Urban,Light Rain,Night,High,No,Aggressive Push,Observe and Report,8
652,Fire Team,Infantry,Mixed,Riot Gear,Centralized,Adequate,459,Light Infantry,Standard Equipment,Medium,Tactical Genius,Peacekeeping,Rural,Extreme Heat,Day,Low,Yes (Naval Gunfire),Guerrilla Tactics,Non-Lethal Force Only,6
967,Squad,Engineers,Mixed,Riot Gear,Centralized (Flexible),Minimal,390,Mechanized Infantry,Standard Equipment,High,Weak,Cyber Defense,Urban,Extreme Cold,Day,Medium,Yes (Air & Artillery),Guerrilla Tactics,Minimize Collateral Damage,4
5,Platoon,Combat Medic Team,Mixed,Standard Issue,Centralized (Flexible),Basic,40,Special Forces,Sniper Teams,Medium,Charismatic Leader,Reconnaissance,Rural,Heavy Rain,Day,High,Yes (Air Support),Encirclement,Observe and Report,4
134,Battalion,Combat Medic Team,Mixed,Riot Gear,Centralized,Well-Supplied,11,Armored,Sniper Teams,Medium,Strong,Cyber Defense,Mountain,Sandstorm,Night,Low,Yes (Air & Artillery),Static Defense,Observe and Report,5
848,Battalion,Special Forces,Veteran,Specialized Gear,Decentralized,Basic,58,Guerrilla,Advanced Communication,Low,Weak,Rescue/Evacuation,Coastal,Fog,Dawn,Medium,Yes (Artillery),Guerrilla Tactics,Observe and Report,9
22,Platoon,Engineers,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Well-Supplied,83,Drone Operators,Improvised Explosive Devices (IEDs),Low,Strong,Eliminate Enemy Force,Urban,Snow,Day,High,Yes (Artillery & Close Air Support),Static Defense,Protect Civilians at All Costs,8
13,Squad,Armored,Rookie,Riot Gear,Centralized (Flexible),Overstocked,294,Drone Operators,Standard Equipment,Fanatical,Tactical Genius,Counter-insurgency,Island,Snow,Dusk,High,Yes (Air Support),Aggressive Push,Protect Civilians at All Costs,7
13,Squad,Infantry,Elite,Specialized Gear,Centralized (Flexible),Overstocked,291,Irregular Militia,Advanced Communication,Medium,Charismatic Leader,Eliminate Enemy Force,Island,Snow,Dawn,Medium,Yes (Air Support),Guerrilla Tactics,Weapons Free,6
47,Battalion,Engineers,Mixed,Standard Issue,Centralized (Flexible),Overstocked,483,Light Infantry,Advanced Communication,Low,Weak,Infrastructure Protection,Forest,Thunderstorm,Night,Medium,Yes (Air & Artillery),Guerrilla Tactics,Minimize Collateral Damage,3
4,Platoon,Reconnaissance,Rookie,Basic (Limited Ammo),Centralized,Basic,342,Irregular Militia,Standard Equipment,Medium,Strong,Reconnaissance,Desert,Extreme Heat,Dawn,Medium,Yes (Air Support),Static Defense,Minimize Collateral Damage,3
194,Battalion,Combat Medic Team,Mixed,Riot Gear,Centralized (Strict Hierarchy),Well-Supplied,165,Irregular Militia,Sniper Teams,Low,Tactical Genius,Secure Objective,Forest,Cloudy,Night,None,Yes (Artillery),Encirclement,Weapons Free,9
118,Battalion,Military Police,Veteran,Medical Supplies,Decentralized,Overstocked,309,Armored,Standard Equipment,High,Strong,Counter-insurgency,Forest,Heavy Rain,Dusk,Low,Yes (Naval Gunfire),Static Defense,Non-Lethal Force Only,8
12,Platoon,Armored,Rookie,Standard Issue,Centralized (Strict Hierarchy),Adequate,315,Light Infantry,Standard Equipment,High,Charismatic Leader,Rescue/Evacuation,Jungle,Thunderstorm,Day,None,Yes (Air & Artillery),Infiltration,Weapons Free,1
372,Platoon,Mechanized,Elite,Advanced Weaponry,Centralized,Well-Supplied,142,Irregular Militia,Advanced Communication,Low,Charismatic Leader,Secure Objective,Coastal,Light Rain,Dusk,Medium,Yes (Artillery),Static Defense,Return Fire Only,2
6,Fire Team,Special Forces,Mixed,Specialized Gear,Centralized (Flexible),Adequate,13,Armored,Sniper Teams,Low,Strong,Rescue/Evacuation,Suburban,Snow,Dawn,Low,Yes (Naval Gunfire),Infiltration,Protect Civilians at All Costs,9
229,Company,Armored,Veteran,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,21,Light Infantry,Standard Equipment,Fanatical,Strong,Rescue/Evacuation,Jungle,Light Rain,Dusk,Medium,Yes (Naval Gunfire),Aggressive Push,Observe and Report,7
12,Squad,Armored,Rookie,Basic (Limited Ammo),Centralized (Flexible),Adequate,72,Guerrilla,Advanced Communication,High,Incompetent,Infrastructure Protection,Coastal,Cloudy,Dusk,None,Yes (Artillery),Static Defense,Observe and Report,3
338,Fire Team,Engineers,Elite,Medical Supplies,Decentralized,Basic,384,Guerrilla,Sniper Teams,High,Strong,Reconnaissance,Island,Fog,Day,None,No,Guerrilla Tactics,Non-Lethal Force Only,6
10,Squad,Combat Medic Team,Elite,Medical Supplies,Decentralized (Limited Communication),Basic,172,Armored,Advanced Communication,Fanatical,Tactical Genius,Secure Objective,Jungle,Fog,Dusk,Low,Yes (Artillery),Encirclement,Protect Civilians at All Costs,8
4,Platoon,Combat Medic Team,Elite,Medical Supplies,Centralized (Strict Hierarchy),Basic,447,Light Infantry,Sniper Teams,Fanatical,Incompetent,Secure Objective,Urban,Thunderstorm,Night,None,Yes (Artillery & Close Air Support),Encirclement,Protect Civilians at All Costs,1
6,Company,Combat Medic Team,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Adequate,373,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Strong,Rescue/Evacuation,Coastal,Extreme Cold,Dusk,High,Yes (Air Support),Patrolling,Protect Civilians at All Costs,4
5,Battalion,Military Police,Elite,Specialized Gear,Centralized (Strict Hierarchy),Adequate,286,Irregular Militia,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Secure Objective,Island,Light Rain,Night,None,Yes (Artillery),Patrolling,Weapons Free,5
214,Battalion,Special Forces,Mixed,Standard Issue,Decentralized (Limited Communication),Overstocked,49,Special Forces,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Secure Objective,Rural,Sandstorm,Dusk,High,No,Static Defense,Return Fire Only,2
151,Company,Mechanized,Elite,Medical Supplies,Centralized (Flexible),Well-Supplied,84,Light Infantry,Standard Equipment,High,Tactical Genius,Reconnaissance,Desert,Clear,Day,Low,No,Static Defense,Protect Civilians at All Costs,1
10,Fire Team,Airborne,Veteran,Medical Supplies,Centralized (Flexible),Minimal,245,Light Infantry,Improvised Explosive Devices (IEDs),Medium,Incompetent,Eliminate Enemy Force,Suburban,Light Rain,Dusk,High,No,Guerrilla Tactics,Weapons Free,2
141,Squad,Engineers,Mixed,Medical Supplies,Centralized,Minimal,302,Irregular Militia,Standard Equipment,Medium,Incompetent,Peacekeeping,Arctic,Cloudy,Dawn,None,Yes (Air & Artillery),Encirclement,Weapons Free,3
162,Platoon,Mechanized,Rookie,Standard Issue,Centralized,Overstocked,133,Light Infantry,Improvised Explosive Devices (IEDs),Medium,Competent,Counter-insurgency,Jungle,Snow,Night,None,No,Infiltration,Weapons Free,9
22,Fire Team,Mechanized,Elite,Specialized Gear,Centralized,Adequate,109,Special Forces,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Cyber Defense,Desert,Clear,Dawn,Medium,Yes (Air Support),Static Defense,Minimize Collateral Damage,4
6,Squad,Military Police,Elite,Medical Supplies,Decentralized,Overstocked,188,Irregular Militia,Sniper Teams,Fanatical,Strong,Counter-insurgency,Forest,Fog,Night,High,Yes (Artillery),Infiltration,Return Fire Only,6
4,Battalion,Combat Medic Team,Mixed,Basic (Limited Ammo),Centralized (Flexible),Well-Supplied,406,Armored,Sniper Teams,Low,Charismatic Leader,Reconnaissance,Island,Extreme Heat,Dawn,Low,No,Static Defense,Return Fire Only,9
4,Company,Military Police,Mixed,Advanced Weaponry,Decentralized (Limited Communication),Basic,278,Armored,Improvised Explosive Devices (IEDs),Fanatical,Competent,Secure Objective,Desert,Clear,Night,Medium,Yes (Air & Artillery),Patrolling,Observe and Report,8
191,Platoon,Military Police,Veteran,Medical Supplies,Centralized,Basic,468,Light Infantry,Improvised Explosive Devices (IEDs),Fanatical,Strong,Infrastructure Protection,Suburban,Snow,Dawn,None,Yes (Air & Artillery),Static Defense,Observe and Report,6
225,Company,Reconnaissance,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Well-Supplied,18,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Competent,Eliminate Enemy Force,Forest,Heavy Rain,Day,Medium,Yes (Naval Gunfire),Tactical Retreat,Minimize Collateral Damage,7
169,Squad,Mechanized,Mixed,Advanced Weaponry,Centralized (Flexible),Well-Supplied,316,Irregular Militia,Advanced Communication,High,Tactical Genius,Counter-insurgency,Coastal,Light Rain,Dusk,None,Yes (Air Support),Infiltration,Minimize Collateral Damage,7
97,Battalion,Combat Medic Team,Veteran,Specialized Gear,Centralized (Flexible),Minimal,500,Cyber Warfare,Standard Equipment,Medium,Incompetent,Counter-insurgency,Urban,Extreme Heat,Dawn,None,Yes (Naval Gunfire),Tactical Retreat,Minimize Collateral Damage,7
961,Platoon,Engineers,Veteran,Standard Issue,Decentralized,Adequate,38,Drone Operators,Standard Equipment,Fanatical,Charismatic Leader,Counter-insurgency,Suburban,Extreme Cold,Dusk,Low,Yes (Naval Gunfire),Guerrilla Tactics,Non-Lethal Force Only,8
130,Squad,Engineers,Mixed,Medical Supplies,Centralized (Flexible),Overstocked,162,Guerrilla,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Counter-insurgency,Arctic,Cloudy,Dusk,High,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,6
38,Fire Team,Armored,Veteran,Specialized Gear,Centralized (Flexible),Overstocked,213,Guerrilla,Advanced Communication,Low,Charismatic Leader,Counter-insurgency,Jungle,Snow,Dawn,None,Yes (Air Support),Patrolling,Weapons Free,9
103,Platoon,Armored,Elite,Standard Issue,Centralized,Minimal,75,Light Infantry,Standard Equipment,Fanatical,Incompetent,Peacekeeping,Island,Clear,Day,Low,Yes (Air & Artillery),Aggressive Push,Observe and Report,1
17,Company,Military Police,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Overstocked,426,Mechanized Infantry,Advanced Communication,Low,Strong,Secure Objective,Mountain,Blizzard,Day,Medium,No,Guerrilla Tactics,Protect Civilians at All Costs,6
225,Battalion,Military Police,Rookie,Advanced Weaponry,Decentralized,Minimal,456,Mechanized Infantry,Advanced Communication,Low,Incompetent,Cyber Defense,Forest,Snow,Day,High,Yes (Artillery & Close Air Support),Guerrilla Tactics,Non-Lethal Force Only,9
38,Company,Mechanized,Mixed,Standard Issue,Decentralized (Limited Communication),Minimal,366,Guerrilla,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Eliminate Enemy Force,Coastal,Blizzard,Dawn,Medium,Yes (Artillery),Encirclement,Observe and Report,4
4,Battalion,Special Forces,Rookie,Medical Supplies,Centralized (Strict Hierarchy),Minimal,381,Guerrilla,Standard Equipment,Medium,Incompetent,Reconnaissance,Suburban,Thunderstorm,Day,Low,Yes (Air Support),Infiltration,Protect Civilians at All Costs,5
884,Fire Team,Airborne,Rookie,Basic (Limited Ammo),Decentralized (Limited Communication),Adequate,243,Armored,Advanced Communication,Medium,Charismatic Leader,Rescue/Evacuation,Mountain,Heavy Rain,Day,Medium,Yes (Naval Gunfire),Infiltration,Minimize Collateral Damage,3
768,Company,Reconnaissance,Elite,Basic (Limited Ammo),Centralized,Overstocked,429,Armored,Advanced Communication,High,Charismatic Leader,Rescue/Evacuation,Urban,Thunderstorm,Day,Low,Yes (Artillery),Patrolling,Return Fire Only,8
152,Battalion,Airborne,Elite,Medical Supplies,Centralized,Minimal,77,Armored,Standard Equipment,Fanatical,Weak,Peacekeeping,Suburban,Light Rain,Dawn,Medium,Yes (Artillery),Patrolling,Protect Civilians at All Costs,4
191,Fire Team,Armored,Veteran,Riot Gear,Decentralized,Basic,327,Special Forces,Standard Equipment,Fanatical,Charismatic Leader,Counter-insurgency,Coastal,Extreme Cold,Day,Medium,Yes (Air Support),Static Defense,Return Fire Only,9
4,Platoon,Combat Medic Team,Rookie,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,190,Drone Operators,Sniper Teams,High,Strong,Rescue/Evacuation,Coastal,Fog,Day,Medium,Yes (Air & Artillery),Infiltration,Minimize Collateral Damage,8
12,Fire Team,Combat Medic Team,Rookie,Basic (Limited Ammo),Decentralized (Limited Communication),Adequate,478,Guerrilla,Standard Equipment,Low,Competent,Counter-insurgency,Coastal,Sandstorm,Day,High,Yes (Air & Artillery),Encirclement,Minimize Collateral Damage,3
882,Squad,Mechanized,Veteran,Specialized Gear,Decentralized (Limited Communication),Overstocked,57,Mechanized Infantry,Improvised Explosive Devices (IEDs),Medium,Competent,Counter-insurgency,Jungle,Clear,Dusk,Medium,Yes (Naval Gunfire),Patrolling,Observe and Report,3
455,Company,Armored,Rookie,Specialized Gear,Centralized (Flexible),Minimal,390,Irregular Militia,Standard Equipment,Fanatical,Competent,Secure Objective,Rural,Thunderstorm,Dusk,Medium,No,Tactical Retreat,Minimize Collateral Damage,6
323,Fire Team,Engineers,Elite,Advanced Weaponry,Decentralized (Limited Communication),Overstocked,185,Mechanized Infantry,Improvised Explosive Devices (IEDs),Low,Weak,Rescue/Evacuation,Desert,Thunderstorm,Dawn,Low,Yes (Artillery & Close Air Support),Patrolling,Weapons Free,8
11,Company,Combat Medic Team,Elite,Medical Supplies,Centralized (Strict Hierarchy),Basic,120,Drone Operators,Standard Equipment,Fanatical,Weak,Reconnaissance,Desert,Extreme Heat,Night,Medium,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,9
4,Company,Special Forces,Veteran,Specialized Gear,Decentralized (Limited Communication),Adequate,470,Mechanized Infantry,Advanced Communication,Medium,Tactical Genius,Cyber Defense,Arctic,Heavy Rain,Dusk,None,Yes (Air Support),Tactical Retreat,Observe and Report,8
614,Squad,Mechanized,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,492,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Strong,Counter-insurgency,Jungle,Snow,Night,High,Yes (Air & Artillery),Static Defense,Observe and Report,8
32,Company,Airborne,Mixed,Riot Gear,Centralized (Flexible),Minimal,296,Mechanized Infantry,Improvised Explosive Devices (IEDs),Fanatical,Weak,Cyber Defense,Coastal,Blizzard,Dusk,High,Yes (Naval Gunfire),Patrolling,Weapons Free,4
95,Company,Mechanized,Elite,Basic (Limited Ammo),Centralized,Overstocked,254,Mechanized Infantry,Standard Equipment,Fanatical,Competent,Reconnaissance,Desert,Heavy Rain,Night,High,Yes (Air Support),Tactical Retreat,Weapons Free,8
123,Fire Team,Engineers,Mixed,Advanced Weaponry,Centralized,Basic,470,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Strong,Rescue/Evacuation,Island,Cloudy,Dusk,None,Yes (Air & Artillery),Encirclement,Non-Lethal Force Only,2
49,Company,Combat Medic Team,Rookie,Standard Issue,Centralized,Basic,236,Armored,Advanced Communication,Medium,Tactical Genius,Secure Objective,Desert,Light Rain,Dawn,Medium,No,Guerrilla Tactics,Weapons Free,9
